Name,PO4_y_copernicus_2
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2064,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2065,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2066,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2067,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2068,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2069,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2070,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2071,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2072,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2073,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2074,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2075,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2076,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2077,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2078,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2079,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2080,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2081,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
May,0.8639526
June,0.8639526
July,0.8639526
August,0.8639526
September,0.8639526
October,0.8639526
November,0.8639526
December,0.8639526
2082,0.8639526
February,0.8639526
March,0.8639526
April,0.8639526
